nb_mentions_global_g,nb_candidats_g,pourcent_mention_par_candidat_g,taux_de_reussite_g,note_a_l_ecrit_g,nb_mentions_b_g,pourcent_mentions_b_g,secteur,code_departement
24,37,64.8648648648649,84.0,11.3,9,37.5,0,57
24,37,64.8648648648649,89.0,10.4,13,54.1666666666667,1,41
24,37,64.8648648648649,89.0,11.3,4,16.6666666666667,0,23
24,38,63.1578947368421,100.0,9.3,7,29.1666666666667,0,59
24,39,61.5384615384615,90.0,10.7,12,50,0,62
24,40,60,75.0,9.7,12,50,0,33
24,40,60,82.0,11.8,9,37.5,0,23
24,40,60,90.0,9.0,9,37.5,1,59
24,40,60,90.0,9.7,8,33.3333333333333,0,23
24,40,60,90.0,10.1,9,37.5,0,87
24,43,55.8139534883721,81.0,9.6,8,33.3333333333333,0,2
24,43,55.8139534883721,91.0,8.1,8,33.3333333333333,0,17
24,45,53.3333333333333,91.0,10.3,13,54.1666666666667,1,973
24,46,52.1739130434783,80.0,10.0,6,25,0,59
24,46,52.1739130434783,87.0,9.8,6,25,0,49
24,47,51.063829787234,81.0,9.9,12,50,0,50
24,48,50,73.0,7.3,3,12.5,1,81
24,48,50,79.0,8.7,15,62.5,0,59
24,50,48,74.0,10.0,6,25,0,57
24,51,47.0588235294118,84.0,8.1,8,33.3333333333333,0,55
24,51,47.0588235294118,86.0,9.5,11,45.8333333333333,1,55
24,52,46.1538461538462,88.0,9.5,8,33.3333333333333,0,972
24,56,42.8571428571429,80.0,9.4,7,29.1666666666667,0,59
24,59,40.6779661016949,78.0,8.7,8,33.3333333333333,0,972
24,61,39.344262295082,84.0,8.0,6,25,0,972
24,62,38.7096774193548,76.0,9.7,7,29.1666666666667,0,94
24,62,38.7096774193548,81.0,7.5,12,50,0,83
24,62,38.7096774193548,92.0,7.4,8,33.3333333333333,0,971
25,30,83.3333333333333,93.0,11.2,6,24,1,35
25,30,83.3333333333333,100.0,10.4,10,40,0,8
25,31,80.6451612903226,97.0,11.1,9,36,0,36
25,31,80.6451612903226,97.0,11.8,8,32,1,3
25,31,80.6451612903226,100.0,11.1,10,40,1,14
25,33,75.7575757575758,91.0,10.2,8,32,0,46
25,33,75.7575757575758,94.0,11.8,8,32,1,88
25,33,75.7575757575758,97.0,11.8,1,4,1,12
25,34,73.5294117647059,79.0,9.7,5,20,0,25
25,34,73.5294117647059,82.0,9.2,7,28,0,31
25,34,73.5294117647059,85.0,11.9,8,32,0,42
25,34,73.5294117647059,88.0,11.2,11,44,0,36
25,34,73.5294117647059,97.0,12.4,13,52,1,27
25,34,73.5294117647059,97.0,12.7,12,48,1,31
25,34,73.5294117647059,100.0,10.5,10,40,1,86
25,35,71.4285714285714,77.0,10.1,10,40,0,16
25,35,71.4285714285714,89.0,11.5,12,48,0,56
25,35,71.4285714285714,94.0,10.2,9,36,0,62
25,35,71.4285714285714,94.0,12.1,8,32,0,12
25,36,69.4444444444444,89.0,11.3,4,16,0,87
25,37,67.5675675675676,95.0,10.0,6,24,0,59
25,37,67.5675675675676,95.0,10.7,7,28,0,14
25,37,67.5675675675676,95.0,11.0,15,60,1,54
25,38,65.7894736842105,84.0,10.7,7,28,0,61
25,38,65.7894736842105,92.0,9.6,8,32,0,23
25,38,65.7894736842105,95.0,10.2,9,36,1,41
25,40,62.5,82.0,10.7,6,24,0,25
25,40,62.5,88.0,11.6,5,20,1,50
25,40,62.5,95.0,9.1,7,28,1,36
25,42,59.5238095238095,88.0,9.8,9,36,0,57
25,42,59.5238095238095,93.0,11.0,11,44,0,49
25,42,59.5238095238095,100.0,9.2,6,24,0,50
25,44,56.8181818181818,86.0,11.4,8,32,0,23
25,44,56.8181818181818,89.0,8.7,12,48,1,84
25,44,56.8181818181818,89.0,9.0,7,28,0,16
25,44,56.8181818181818,91.0,8.9,5,20,0,49
25,45,55.5555555555556,73.0,10.1,5,20,0,27
25,45,55.5555555555556,80.0,9.8,5,20,0,39
25,45,55.5555555555556,87.0,10.0,12,48,0,50
25,46,54.3478260869565,76.0,9.6,10,40,0,50
25,46,54.3478260869565,87.0,9.4,15,60,1,75
25,49,51.0204081632653,90.0,9.6,7,28,0,59
25,51,49.0196078431373,75.0,8.0,8,32,0,59
25,52,48.0769230769231,77.0,8.1,8,32,0,8
25,54,46.2962962962963,74.0,9.0,8,32,0,89
25,58,43.1034482758621,76.0,7.8,7,28,0,61
25,64,39.0625,59.0,6.1,7,28,0,971
25,70,35.7142857142857,77.0,8.5,11,44,0,59
25,72,34.7222222222222,74.0,7.7,7,28,0,59
25,76,32.8947368421053,63.0,7.4,5,20,0,78
26,31,83.8709677419355,94.0,12.0,12,46.1538461538462,1,10
26,31,83.8709677419355,100.0,11.9,9,34.6153846153846,0,50
26,31,83.8709677419355,100.0,13.1,8,30.7692307692308,1,62
26,32,81.25,100.0,11.4,6,23.0769230769231,1,73
26,32,81.25,100.0,12.2,6,23.0769230769231,0,88
26,33,78.7878787878788,88.0,11.1,6,23.0769230769231,0,23
26,33,78.7878787878788,97.0,11.6,11,42.3076923076923,1,30
26,34,76.4705882352941,91.0,10.5,13,50,0,46
26,34,76.4705882352941,100.0,10.4,5,19.2307692307692,0,81
26,35,74.2857142857143,97.0,10.3,5,19.2307692307692,0,86
26,35,74.2857142857143,97.0,12.5,9,34.6153846153846,0,53
26,36,72.2222222222222,86.0,10.7,12,46.1538461538462,1,52
26,36,72.2222222222222,92.0,11.1,10,38.4615384615385,0,23
26,36,72.2222222222222,92.0,11.4,13,50,1,88
26,36,72.2222222222222,100.0,10.9,14,53.8461538461539,1,50
26,37,70.2702702702703,84.0,11.1,6,23.0769230769231,0,55
26,38,68.421052631579,82.0,10.6,7,26.9230769230769,0,3
26,38,68.421052631579,87.0,11.9,8,30.7692307692308,0,24
26,39,66.6666666666667,92.0,9.8,11,42.3076923076923,1,83
26,40,65,78.0,11.8,14,53.8461538461539,0,8
26,40,65,82.0,10.5,8,30.7692307692308,0,89
26,40,65,85.0,9.1,8,30.7692307692308,0,28
26,40,65,95.0,11.6,8,30.7692307692308,0,37
26,40,65,98.0,9.6,12,46.1538461538462,1,92
26,42,61.9047619047619,79.0,10.9,7,26.9230769230769,0,3
26,42,61.9047619047619,88.0,11.6,11,42.3076923076923,0,49
26,42,61.9047619047619,90.0,10.2,11,42.3076923076923,0,83
26,44,59.0909090909091,80.0,9.7,8,30.7692307692308,0,49
26,44,59.0909090909091,95.0,9.3,11,42.3076923076923,0,972
26,45,57.7777777777778,78.0,10.9,8,30.7692307692308,0,61
26,45,57.7777777777778,96.0,9.1,7,26.9230769230769,0,972
26,46,56.5217391304348,93.0,9.7,9,34.6153846153846,1,25
26,47,55.3191489361702,77.0,9.0,8,30.7692307692308,0,59
26,47,55.3191489361702,87.0,10.4,9,34.6153846153846,0,86
26,49,53.0612244897959,90.0,7.8,10,38.4615384615385,0,972
26,57,45.6140350877193,89.0,7.5,7,26.9230769230769,0,973
26,58,44.8275862068966,69.0,8.5,13,50,0,8
26,59,44.0677966101695,93.0,7.7,6,23.0769230769231,0,972
26,61,42.6229508196721,82.0,9.6,11,42.3076923076923,0,50
27,31,87.0967741935484,100.0,11.5,8,29.6296296296296,0,51
27,31,87.0967741935484,100.0,12.4,7,25.9259259259259,1,62
27,32,84.375,94.0,10.4,11,40.7407407407407,0,35
27,32,84.375,100.0,10.4,5,18.5185185185185,1,14
27,32,84.375,100.0,10.9,12,44.4444444444444,1,53
27,33,81.8181818181818,97.0,12.1,9,33.3333333333333,1,59
27,33,81.8181818181818,97.0,13.0,8,29.6296296296296,1,12
27,33,81.8181818181818,100.0,10.9,9,33.3333333333333,1,56
27,34,79.4117647058823,88.0,11.1,8,29.6296296296296,0,59
27,34,79.4117647058823,91.0,10.8,6,22.2222222222222,0,56
27,34,79.4117647058823,97.0,11.1,13,48.1481481481482,0,88
27,34,79.4117647058823,97.0,11.6,6,22.2222222222222,1,50
27,34,79.4117647058823,100.0,11.1,5,18.5185185185185,0,88
27,35,77.1428571428572,94.0,12.2,10,37.037037037037,1,62
27,37,72.972972972973,89.0,10.4,14,51.8518518518519,0,81
27,37,72.972972972973,92.0,11.5,10,37.037037037037,1,35
27,37,72.972972972973,92.0,11.8,8,29.6296296296296,1,14
27,37,72.972972972973,97.0,11.0,11,40.7407407407407,1,72
27,38,71.0526315789474,87.0,11.8,9,33.3333333333333,0,50
27,38,71.0526315789474,95.0,11.0,13,48.1481481481482,0,87
27,39,69.2307692307692,92.0,11.7,9,33.3333333333333,0,37
27,40,67.5,90.0,9.9,8,29.6296296296296,0,35
27,40,67.5,90.0,10.9,7,25.9259259259259,0,25
27,40,67.5,98.0,11.9,13,48.1481481481482,0,53
27,41,65.8536585365854,90.0,11.3,9,33.3333333333333,1,25
27,41,65.8536585365854,90.0,11.5,8,29.6296296296296,1,91
27,41,65.8536585365854,95.0,11.4,6,22.2222222222222,1,973
27,42,64.2857142857143,86.0,8.6,7,25.9259259259259,0,23
27,43,62.7906976744186,88.0,8.3,5,18.5185185185185,0,54
27,43,62.7906976744186,91.0,10.0,13,48.1481481481482,0,8
27,44,61.3636363636364,86.0,11.1,12,44.4444444444444,0,23
27,45,60,82.0,10.4,12,44.4444444444444,0,2
27,45,60,84.0,9.4,7,25.9259259259259,0,17
27,45,60,87.0,10.0,8,29.6296296296296,0,59
27,47,57.4468085106383,83.0,8.3,7,25.9259259259259,0,8
27,47,57.4468085106383,85.0,10.8,12,44.4444444444444,0,50
27,50,54,88.0,9.0,10,37.037037037037,0,57
27,50,54,92.0,8.1,4,14.8148148148148,0,973
27,52,51.9230769230769,75.0,9.2,7,25.9259259259259,0,47
27,53,50.9433962264151,77.0,9.7,9,33.3333333333333,0,24
27,53,50.9433962264151,89.0,8.5,9,33.3333333333333,0,62
27,55,49.0909090909091,69.0,8.5,8,29.6296296296296,0,59
27,55,49.0909090909091,91.0,11.2,7,25.9259259259259,0,62
27,57,47.3684210526316,74.0,9.5,15,55.5555555555556,0,25
27,58,46.551724137931,88.0,8.1,12,44.4444444444444,0,971
27,60,45,70.0,8.7,9,33.3333333333333,1,42
27,60,45,77.0,11.2,8,29.6296296296296,0,23
27,62,43.5483870967742,82.0,8.2,9,33.3333333333333,0,971
27,63,42.8571428571429,76.0,7.5,8,29.6296296296296,0,62
27,72,37.5,68.0,6.0,9,33.3333333333333,0,972
27,76,35.5263157894737,76.0,6.7,7,25.9259259259259,0,59
